ECO,Name,Moves,Description
A00,"Anderssen's Opening","1. a3","Uncommon, aims for flank control and avoids main lines."
A01,"Larsen's Opening","1. b3","Hypermodern, fianchettoes queen's bishop for queenside pressure."
A02,"Bird's Opening","1. f4","Aims to control e5, can lead to sharp or closed positions."
A04,"Réti Opening","1. Nf3","Hypermodern, flexible, often transposing to other openings."
A10,"English Opening","1. c4","Flank opening, aims for queenside control, very flexible."
A40,"Queen's Pawn Game (Unusual replies)","1. d4","Covers various less common responses to Queen's Pawn."
A45,"Indian Game (Atypical replies to 1...Nf6)","1. d4 Nf6","Covers various less common Indian systems when White avoids 2. c4."
A80,"Dutch Defense","1. d4 f5","Asymmetrical defense, fights for e4 square, can be aggressive."
B00,"King's Pawn Opening (Unusual replies)","1. e4","Covers uncommon Black responses to King's Pawn other than 1...e5, 1...e6, 1...c5 etc."
B01,"Scandinavian Defense","1. e4 d5","Black immediately challenges White's central pawn."
B06,"Modern Defense (Robatsch)","1. e4 g6","Hypermodern, Black allows White to build a center then attacks it."
B07,"Pirc Defense","1. e4 d6 2. d4 Nf6 3. Nc3 g6","Hypermodern, aims for a kingside fianchetto and counterplay."
B20,"Sicilian Defense","1. e4 c5","Popular and aggressive counter-attacking defense for Black."
C00,"French Defense","1. e4 e6","Solid defense, leads to closed or semi-closed positions, Black aims for counterplay on the queenside."
C20,"King's Pawn Game (Open Game variations)","1. e4 e5","General category for various lines in the Open Game."
C21,"Center Game","1. e4 e5 2. d4 exd4","White immediately opens the center."
C30,"King's Gambit","1. e4 e5 2. f4","Aggressive gambit where White sacrifices a pawn for rapid development and attacking chances."
C41,"Philidor Defense","1. e4 e5 2. Nf3 d6","Solid but somewhat passive defense, Black aims for a strong pawn structure."
C42,"Petrov's Defense (Russian Game)","1. e4 e5 2. Nf3 Nf6","Symmetrical and solid defense, often leading to drawish positions."
C50,"Italian Game (Giuoco Piano)","1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5","Classical opening, focuses on rapid development and central control."
C60,"Ruy López","1. e4 e5 2. Nf3 Nc6 3. Bb5","One of the oldest and most popular openings, aims for long-term pressure."
D00,"Queen's Pawn Game","1. d4 d5","Classical opening, leads to a variety of closed and semi-closed positions."
D06,"Queen's Gambit","1. d4 d5 2. c4","White offers a pawn for central control and development initiative."
D70,"Grünfeld Defense","1. d4 Nf6 2. c4 g6 3. Nc3 d5","Hypermodern defense, Black allows White to build a center then attacks it, especially the d4 pawn."
E00,"Catalan Opening","1. d4 Nf6 2. c4 e6 3. g3","White combines Queen's Gambit with a kingside fianchetto, positional and solid."
E60,"King's Indian Defense","1. d4 Nf6 2. c4 g6","Hypermodern, Black allows White a central pawn majority, aiming for counterplay, often involving a kingside attack."
